Country,Continent,Gender,Life Expectancy at Birth
Norway,Europe,Female,83.6
Australia,Oceania,Female,84.5
Switzerland,Europe,Female,85
Denmark,North America,Female,82.2
Netherlands,North America,Female,83.3
Germany,Europe,Female,83.3
Ireland,Europe,Female,83
United States,North America,Female,81.4
Canada,North America,Female,84
New Zealand,Oceania,Female,83.6
Singapore,Asia,Female,86
"Hong Kong, China (SAR)",Asia,Female,86.8
Liechtenstein,Europe,Female,0
Sweden,Europe,Female,83.9
United Kingdom,Europe,Female,82.6
Iceland,Europe,Female,84
Korea (Republic of),Asia,Female,85
Israel,Asia,Female,84.1
Luxembourg,Europe,Female,83.9
Japan,Asia,Female,86.7
Belgium,Europe,Female,83.2
France,Europe,Female,85.1
Austria,Europe,Female,83.8
Finland,Europe,Female,83.6
Slovenia,Europe,Female,83.4
Spain,Europe,Female,85.3
Italy,Europe,Female,85.5
Czech Republic,Europe,Female,81.5
Greece,Europe,Female,83.8
Estonia,Europe,Female,81.3
Brunei Darussalam,Asia,Female,80.7
Cyprus,Europe,Female,82.4
Qatar,Asia,Female,79.9
Andorra,Europe,Female,0
Slovakia,Europe,Female,79.9
Poland,Europe,Female,81.4
Lithuania,Europe,Female,78.9
Malta,Europe,Female,82.2
Saudi Arabia,Asia,Female,75.7
Argentina,South America,Female,80.1
United Arab Emirates,Asia,Female,78.5
Chile,South America,Female,84.5
Portugal,Europe,Female,83.8
Hungary,Europe,Female,78.7
Bahrain,Asia,Female,77.6
Latvia,Europe,Female,78.9
Croatia,Europe,Female,80.6
Kuwait,Asia,Female,75.8
Montenegro,Europe,Female,78.4
Belarus,Europe,Female,77.2
Russian Federation,Asia,Female,75.8
Oman,Asia,Female,79.2
Romania,Europe,Female,78.3
Uruguay,South America,Female,80.6
Bahamas,North America,Female,78.3
Kazakhstan,Asia,Female,74.1
Barbados,North America,Female,78
Antigua and Barbuda,North America,Female,78.5
Bulgaria,Europe,Female,77.7
Palau,Oceania,Female,0
Panama,North America,Female,80.7
Malaysia,Asia,Female,77.1
Mauritius,Africa,Female,78
Seychelles,Africa,Female,78.1
Trinidad and Tobago,North America,Female,74
Serbia,Europe,Female,77.7
Cuba,North America,Female,81.5
Lebanon,Asia,Female,81.3
Costa Rica,North America,Female,81.9
Iran (Islamic Republic of),Asia,Female,76.5
Venezuela (Bolivarian Republic of),South America,Female,78.5
Turkey,Asia,Female,78.5
Sri Lanka,Asia,Female,78.2
Mexico,North America,Female,79.2
Brazil,South America,Female,78.3
Georgia,Asia,Female,78.4
Saint Kitts and Nevis,North America,Female,0
Azerbaijan,Asia,Female,74
Grenada,North America,Female,75.9
Jordan,Asia,Female,75.8
The former Yugoslav Republic of Macedonia,Europe,Female,77.7
Ukraine,Europe,Female,75.9
Algeria,Africa,Female,77.2
Peru,South America,Female,77.2
Albania,Europe,Female,80.4
Armenia,Asia,Female,78.6
Bosnia and Herzegovina,Europe,Female,79
Ecuador,South America,Female,78.7
Saint Lucia,North America,Female,77.8
China,Asia,Female,77.3
Fiji,Oceania,Female,73.2
Mongolia,Asia,Female,73.9
Thailand,Asia,Female,77.9
Dominica,North America,Female,0
Libya,Africa,Female,74.6
Tunisia,Africa,Female,77.3
Colombia,North America,Female,77.7
Saint Vincent and the Grenadines,North America,Female,75.1
Jamaica,North America,Female,78.1
Tonga,Oceania,Female,75.8
Belize,North America,Female,72.9
Dominican Republic,North America,Female,76.7
Suriname,South America,Female,74.4
Maldives,Asia,Female,77.8
Samoa,Oceania,Female,76.8
Botswana,Africa,Female,66.8
Moldova (Republic of),Europe,Female,75.7
Egypt,Africa,Female,73.4
Turkmenistan,Asia,Female,69.9
Gabon,Africa,Female,65
Indonesia,Asia,Female,71
Paraguay,South America,Female,75.1
"Palestine, State of",Asia,Female,74.9
Uzbekistan,Asia,Female,71.8
Philippines,Asia,Female,71.8
El Salvador,North America,Female,77.4
South Africa,Africa,Female,59.3
Viet Nam,Asia,Female,80.5
Bolivia (Plurinational State of),South America,Female,70.9
Kyrgyzstan,Asia,Female,74.6
Iraq,Asia,Female,71.7
Cabo Verde,Africa,Female,75
Micronesia (Federated States of),Oceania,Female,70.1
Guyana,South America,Female,68.8
Nicaragua,North America,Female,77.9
Morocco,Africa,Female,75.1
Namibia,Africa,Female,67.3
Guatemala,North America,Female,75.3
Tajikistan,Asia,Female,73.2
India,Asia,Female,69.5
Honduras,North America,Female,75.7
Bhutan,Asia,Female,69.7
Timor-Leste,Asia,Female,70.1
Syrian Arab Republic,Asia,Female,76.5
Vanuatu,Oceania,Female,74
Dem. Rep. Congo,Africa,Female,63.9
Kiribati,Oceania,Female,69.2
Equatorial Guinea,Africa,Female,59
Zambia,Africa,Female,62
Ghana,Africa,Female,62.3
Lao People's Democratic Republic,Asia,Female,67.5
Bangladesh,Asia,Female,72.9
Cambodia,Asia,Female,70.3
Sao Tome and Principe,Africa,Female,68.4
Kenya,Africa,Female,63.4
Nepal,Asia,Female,71.1
Pakistan,Asia,Female,67.2
Myanmar,Asia,Female,68
Angola,Africa,Female,53.8
Swaziland,Africa,Female,48.2
Tanzania (United Republic of),Africa,Female,66.4
Nigeria,Africa,Female,53.1
Cameroon,Africa,Female,56.7
Madagascar,Africa,Female,66.6
Zimbabwe,Africa,Female,58.9
Mauritania,Africa,Female,64.5
Solomon Islands,Oceania,Female,69.4
Papua New Guinea,Oceania,Female,64.8
Comoros,Africa,Female,65
Yemen,Asia,Female,65.2
Lesotho,Africa,Female,49.8
Togo,Africa,Female,60.4
Haiti,North America,Female,64.9
Rwanda,Africa,Female,67
Uganda,Africa,Female,60.3
Benin,Africa,Female,61
