Country,Continent,Education,Years of Education,,,Continent,Education,Years of Education,,,,,,,,,,,,,,
Mauritius,Africa,Mean,8.5,,,Africa,Mean,5.007547,,,8.5,15.6,10.6,15.4,12.6,17.5,12.7,18.7,13,20.2,9.8,17.9
Seychelles,Africa,Mean,9.4,,,Africa,Mean,5.007547,,,9.4,13.4,11.2,15.6,12.8,15.8,11.9,17.9,12.5,19.2,9.8,15.2
Algeria,Africa,Mean,7.6,,,Africa,Mean,5.007547,,,7.6,14,11.9,16.9,13.1,16.5,12.9,16.5,12.3,13.7,8.5,15.5
Libya,Africa,Mean,7.3,,,Africa,Mean,5.007547,,,7.3,14,12.5,16,12.2,18.6,13,15.9,9.9,15.7,8.9,14.2
Tunisia,Africa,Mean,6.8,,,Africa,Mean,5.007547,,,6.8,14.6,11.5,15.3,11.8,15,10.9,12.6,10.7,14.7,7.7,15.2
Botswana,Africa,Mean,8.9,,,Africa,Expected,10.29623,,,8.9,12.5,8.8,14.5,12.1,15.8,10.5,15.4,10.3,12.9,9,13.1
Egypt,Africa,Mean,6.6,,,Africa,Expected,10.29623,,,6.6,13.5,9.1,13.8,13.1,16.2,9.2,14,9.7,11.7,7.6,14.2
Gabon,Africa,Mean,7.8,,,Africa,Expected,10.29623,,,7.8,12.5,8.7,16.3,10.6,19,9.3,13.3,6.8,10.6,7.7,12.7
South Africa,Africa,Mean,9.9,,,Africa,Expected,10.29623,,,9.9,13.6,9.5,13.3,11.7,13.9,10.9,12.3,7.8,12.3,7.7,11.9
Cabo Verde,Africa,Mean,4.7,,,Africa,Expected,10.29623,,,4.7,13.5,9.4,14.4,11.3,16.3,11.5,13.8,5,9.2,8.2,13.2
Morocco,Africa,Mean,4.4,,,Africa,Expected,10.29623,,,4.4,11.6,7.2,14.7,11.1,16,8.4,13.9,4,9.9,8.5,10.3
Namibia,Africa,Mean,6.2,,,Africa,Expected,10.29623,,,6.2,11.3,12,14.7,10.8,15.7,8.5,13.1,9.272727273,13.64545455,8.490909091,13.94545455
Congo,Africa,Mean,6.1,,,Africa,Expected,10.29623,,,6.1,11.1,8,13.6,10.3,17.1,8.4,12.9,,,,
Equatorial Guinea,Africa,Mean,5.5,,,Africa,Expected,10.29623,,,5.5,9,11.4,15,11.9,16.8,8.6,15.8,,,,
Zambia,Africa,Mean,6.6,,,Africa,Expected,10.29623,,,6.6,13.5,10,12.7,9.6,17.3,9.3,12.6,,,,
Ghana,Africa,Mean,7,,,Asia,Mean,8.185417,,,7,11.5,7.9,13.8,10.1,16,7.9,12.7,,,,
Sao Tome and Principe,Africa,Mean,4.7,,,Asia,Mean,8.185417,,,4.7,11.3,8.2,15.1,12.3,16.4,7.3,13.5,,,,
