HDI Rank,Country,Continent,Human Development Index (1990),Human Development Index (2000),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (HDI),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male),Gross National Income (GNI) per Capita
1,Norway,Europe,0.849,0.917,0.94,0.941,0.942,0.942,0.944,83.6,79.5,81.6,17.5,12.6,57140,72825,64992
2,Australia,Oceania,0.865,0.898,0.927,0.93,0.932,0.933,0.935,84.5,80.3,82.4,20.2,13,33688,50914,42261
3,Switzerland,Europe,0.831,0.888,0.924,0.925,0.927,0.928,0.93,85,80.8,83,15.8,12.8,44132,69077,56431
4,Denmark,North America,0.799,0.862,0.908,0.92,0.921,0.923,0.923,82.2,78.3,80.2,18.7,12.7,36439,51727,44025
5,Netherlands,North America,0.829,0.877,0.909,0.919,0.92,0.92,0.922,83.3,79.7,81.6,17.9,11.9,29500,61641,45435
6,Germany,Europe,0.801,0.855,0.906,0.911,0.915,0.915,0.916,83.3,78.5,80.9,16.5,13.1,34886,53290,43919
6,Ireland,Europe,0.77,0.861,0.908,0.909,0.91,0.912,0.916,83,78.8,80.9,18.6,12.2,30104,49166,39568
8,United States,North America,0.859,0.883,0.909,0.911,0.912,0.913,0.915,81.4,76.7,79.1,16.5,12.9,43054,63158,52947
9,Canada,North America,0.849,0.867,0.903,0.909,0.91,0.912,0.913,84,80,82,15.9,13,33587,50853,42155
9,New Zealand,Oceania,0.82,0.874,0.905,0.907,0.909,0.911,0.913,83.6,80,81.8,19.2,12.5,24309,41372,32689
11,Singapore,Asia,0.718,0.819,0.897,0.903,0.905,0.909,0.912,86,79.9,83,15.4,10.6,59994,93699,76628
12,"Hong Kong, China (SAR)",Asia,0.781,0.825,0.898,0.902,0.906,0.908,0.91,86.8,81.2,84,15.6,11.2,38060,72052,53959
13,Liechtenstein,Europe,0,0,0.902,0.903,0.906,0.907,0.908,0,0,80,15,11.8,0,0,79851
14,Sweden,Europe,0.815,0.897,0.901,0.903,0.904,0.905,0.907,83.9,80.4,82.2,15.8,12.1,40222,51084,45636
14,United Kingdom,Europe,0.773,0.865,0.906,0.901,0.901,0.902,0.907,82.6,78.7,80.7,16.2,13.1,27259,51628,39267
16,Iceland,Europe,0.802,0.859,0.892,0.896,0.897,0.899,0.899,84,81,82.6,19,10.6,28792,41486,35182
17,Korea (Republic of),Asia,0.731,0.821,0.886,0.891,0.893,0.895,0.898,85,78.5,81.9,16.9,11.9,21896,46018,33890
